-3.6346998212	-0.0675244664	
-3.6738659884	1.9330026665	
-3.7130321634	3.9335297952	
-3.7521983436	5.9340569264	
-3.7913584512	7.9335837110	
-3.8245225674	9.9341473123	
-3.8566863424	11.9347169913	
-3.8888501245	13.9352866702	
-3.9220142587	15.9358502703	
-3.9541780506	17.9364199502	
-3.9873421947	19.9369835494	
-4.0205063419	21.9375471498	
-4.0546708408	23.9381046711	
-4.0888292669	25.9376618472	
-4.1219934317	27.9382254463	
-4.1541572571	29.9387951230	
-4.1873214341	31.9393587236	
-4.2204856139	33.9399223225	
-4.2536497996	35.9404859203	
-4.2868139913	37.9410495203	
-4.3209785329	39.9416070413	
-4.3551430797	41.9421645616	
-4.3893015559	43.9417217335	
-4.4304685323	45.9422367048	
-4.4906420832	47.9426361841	
-4.5508095602	49.9420353186	
-4.6119773878	51.9414283724	
-4.6761523342	53.9418035355	
-4.7673244631	55.9400138901	
-4.8735017818	57.9381330657	
-5.0096773158	59.9340691947	
-5.1618523076	61.9289077208	
-5.3610192349	63.9194591741	
-5.5641875505	65.9099863128	
-5.7693565625	67.9005012928	
-5.9845168776	69.8889547963	
-6.2226729930	71.8752678012	
-6.4278420200	73.8657827783	
-6.6330110523	75.8562977531	
-6.8851598607	77.8405249650	
-7.1682950786	79.8205623587	
-7.4874123485	81.7953791941	
-7.8185276934	83.7691227414	
-8.1636296452	85.7397801499	
-8.5147275990	87.7094007398	
-8.8698208616	89.6779966675	
-9.2588894083	91.6403838510	
-9.6569489133	93.6007156335	
-10.0759974462	95.5579187269	
-10.5220127637	97.5079552791	
-10.9780193878	99.4559303525	
-11.4360206276	101.4028929198	
-11.9359816817	103.3405970761	
-12.4579138727	105.2721654268	
-12.9888309413	107.2006780308	
-13.5197540924	109.1301909795	
-14.0786322209	111.0505306132	
-14.6514969582	112.9677841072	
-15.2273566566	114.8840190176	
-15.8032163586	116.8002539262	
-16.3920562442	118.7124084268	
-16.9998662299	120.6184453563	
-17.6226510089	122.5193893799	
-18.2733907615	124.4111600857	
-18.9271254820	126.3019122093	
-19.5978356838	128.1875592646	
-20.2924934018	130.0630569741	
-21.0061212146	131.9324371143	
-21.7187486892	133.8018233296	
-22.4722991569	135.6559551335	
-23.2238489379	137.5100990895	
-24.0272829658	139.3419193546	
-24.8397018688	141.1706838710	
-25.6640884537	142.9933733658	
-26.5034376736	144.8089692578	
-27.3537663864	146.6204968986	
-28.2060836343	148.4300116870	
-29.0693803725	150.2354582262	
-29.9486340164	152.0328047370	
-30.8288819300	153.8291448189	
-31.7141194172	155.6234538147	
-32.6053407445	157.4147252935	
-33.5434324328	159.1817027810	
-34.4825183887	160.9476738405	
-35.4465400435	162.7014887799	
-36.4115559704	164.4542972938	
-37.4094678086	166.1878986407	
-38.4133634882	167.9184624752	
-39.4471661993	169.6318380692	
-40.4879409378	171.3401693817	
-41.5426718895	173.0404128226	
-42.6033806015	174.7366184059	
-43.6880064309	176.4176729133	
-44.7816049783	178.0936709788	
-45.8911421930	179.7585679812	
-47.0126349270	181.4153892691	
-48.1410996858	183.0671662731	
-49.2775368209	184.7138929157	
-50.4219402499	186.3545688497	
-51.5832826910	187.9841376405	
-52.7486022006	189.6096807299	
-53.9348499439	191.2220916704	
-55.1210855323	192.8325019156	
-56.3192766403	194.4348364430	
-57.5214508962	196.0341456178	
-58.7644508828	197.6021948477	
-60.0064505225	199.1702501533	
-61.2982242949	200.6979876945	
-62.5929869488	202.2237063048	
-63.9146191220	203.7262528379	
-65.2392280147	205.2247797457	
-66.5688143259	206.7192748734	
-67.9013895168	208.2117510679	
-69.2459019879	209.6931505134	
-70.5973864840	211.1695056747	
-71.9468702883	212.6458729903	
-73.2943716434	214.1252534911	
-74.6418669153	215.6036336413	
-75.9893682667	217.0830141341	
-77.3368635421	218.5613942729	
-78.6833645519	220.0407808315	
-80.0328605179	221.5191488050	
-81.3873217398	222.9914843047	
-82.7417829606	224.4638197996	
-84.0922671189	225.9401809861	
-85.4397623955	227.4185610938	
-86.7892522872	228.8959286948	
-88.1397364456	230.3722898643	
-89.4892263354	231.8496574546	
-90.8387101489	233.3260246923	
-92.1891943073	234.8023858468	
-93.5396784669	236.2787469975	
-94.8901565487	237.7541077943	
-96.2406407086	239.2304689315	
-97.5911248710	240.7068300679	
-98.9406147667	242.1841976180	
-100.2891043154	243.6615712438	
-101.6385942112	245.1389387844	
-102.9900726420	246.6142934728	
-104.3445338719	248.0866288809	
-105.6999954464	249.5589582054	
-107.0544566789	251.0312936049	
-108.4079236431	252.5046354221	
-109.7584078104	253.9809965074	
-111.1088919752	255.4573575873	
-112.4593700659	256.9327183159	
-113.8108545780	258.4090733046	
-115.1623269298	259.8834276003	
-116.5138053676	261.3587822334	
-117.8652898815	262.8351372085	
-119.2167622378	264.3094914852	
-120.5662521424	265.7868589501	
-121.9167363112	267.2632199878	
-123.2672204818	268.7395810200	
-124.6177046540	270.2159420461	
-125.9691770116	271.6902962958	
-127.3216497184	273.1646444651	
-128.6751227704	274.6389865478	
-130.0265951302	276.1133407822	
-131.3790678370	277.5876889322	
-132.7315466218	279.0630374236	
-134.0830189845	280.5373916433	
-135.4354916926	282.0117397772	
-136.7879644026	283.4860879087	
-138.1414313780	284.9594296065	
-139.4948983535	286.4327713007	
-140.8473710650	287.9071194140	
-142.1978552416	289.3834803696	
-143.5473451522	290.8608477455	
-144.8968350639	292.3382151149	
-146.2453246321	293.8155885595	
-147.5948145425	295.2929559188	
-148.9443044568	296.7703232721	
-150.2937943701	298.2476906222	
-151.6432842848	299.7250579647	
-152.9947566553	301.1994121080	
-154.3472293693	302.6737601699	
-155.6997020854	304.1481082234	
-157.0531690670	305.6214498475	
-158.4076363960	307.0947853885	
-159.7630919122	308.5661141546	
-161.1185474291	310.0374429148	
-162.4750032936	311.5087655914	
-163.8274699336	312.9821132667	
-165.1759655862	314.4604869812	
-166.5254555048	315.9378542660	
-167.8739511581	317.4162279688	
-169.2234350010	318.8925948976	
-170.5739131079	320.3679553950	
-171.9253976422	321.8443101551	
-173.2768760969	323.3196645653	
-174.6283484731	324.7940186229	
-175.9818215404	326.2683605182	
-177.3342942664	327.7427084863	
-178.6867669890	329.2170564495	
-180.0392397130	330.6914044079	
-181.3887296354	332.1687716339	
-182.7372192186	333.6461449335	
-184.0867091439	335.1235121478	
-185.4361990714	336.6008793548	
-186.7856889979	338.0782465602	
-188.1351728470	339.5546134136	
-189.4846627733	341.0319806062	
-190.8341466243	342.5083474492	
-192.1846308186	343.9847082068	
-193.5341207472	345.4620753836	
-194.8836046004	346.9384422110	
-196.2340948767	348.4158032979	
-197.5895504053	349.8871319153	
-198.9460002016	351.3574540999	
-200.3014557328	352.8287827058	
-201.6579116107	354.3001052257	
-203.0093900755	355.7754595164	
-204.3598681964	357.2508198817	
-205.7113466640	358.7261741605	
-207.0628312095	360.2025287802	
-208.4153039436	361.6768766257	
-209.7677705995	363.1502241218	
-211.1212376010	364.6235655313	
-212.4747106815	366.0979072817	
-213.8261830727	367.5722611841	
-215.1776615430	369.0476154293	
-216.5301342786	370.5219632408	
-217.8826130958	371.9973113929	
-219.2311026886	373.4746845473	
-220.5785980169	374.9530641201	
-221.9270997694	376.4324379549	
-223.2745950965	377.9108175172	
-224.6250793013	379.3871781459	
-225.9795405770	380.8595130732	
-227.3340018524	382.3318479948	
-228.6884631262	383.8041829120	
-230.0429304798	385.2775181675	
-231.3963974875	386.7508594986	
-232.7498584170	388.2232004759	
-234.1043257717	389.6965357166	
-235.4577927834	391.1698770299	
-236.8092712591	392.6452311872	
-238.1607497387	394.1205853379	
-239.5112278695	395.5959455634	
-240.8627063522	397.0712997044	
-242.2141909102	398.5476541843	
-243.5646690428	400.0230143938	
-244.9151532587	401.4993749422	
-246.2656374732	402.9757354869	
-247.6151274233	404.4531024486	
-248.9636170251	405.9304754841	
-250.3121127072	407.4088488602	
-251.6615965814	408.8852154602	
-253.0120868763	410.3625763232	
-254.3625650151	411.8379364880	
-255.7130492353	413.3142969931	
-257.0635334519	414.7906574947	
-258.4150119390	416.2660115656	
-259.7674846909	417.7403592062	
-261.1189570987	419.2147129224	
-262.4714359281	420.6900608974	
-263.8219140705	422.1654210250	
-265.1723982933	423.6417814931	
-266.5228825155	425.1181419572	
-267.8733667389	426.5945024139	
-269.2238509612	428.0708628656	
-270.5723466480	429.5492361601	
-271.9208362614	431.0266091050	
-273.2693319561	432.5049823901	
-274.6178215682	433.9823553239	
-275.9702943269	435.4567028992	
-277.3227670855	436.9310504708	
-278.6752398456	438.4053980369	
-280.0277126018	439.8797455979	
-281.3791910981	441.3550995764	
-282.7316638573	442.8294471254	
-284.0841366171	444.3037946717	
-285.4356151108	445.7791486347	
-286.7860993420	447.2555090164	
-288.1365835726	448.7318693922	
-289.4870617240	450.2072294189	
-290.8375459546	451.6835897842	
-292.1870359189	453.1609565706	
-293.5355255385	454.6383294292	
-294.8850215831	456.1166965474	
-296.2335112060	457.5940693952	
-297.5849897048	459.0694233082	
-298.9384567373	460.5427643709	
-300.2919298474	462.0171057701	
-301.6443965369	463.4904529008	
-302.9978635702	464.9637939453	
-304.3503363375	466.4381414097	
-305.7028091032	467.9124888673	
-307.0552818749	469.3868363186	
-308.4077607198	470.8621841132	
-309.7572446143	472.3385504821	
-311.1067345861	473.8159171910	
-312.4572188254	475.2922774729	
-313.8067027171	476.7686438240	
-315.1561926911	478.2460105165	
-316.5046883956	479.7243836292	
-317.8531780275	481.2017563914	
-319.2026680013	482.6791230677	
-320.5541465093	484.1544768914	
-321.9086078161	485.6268114358	
-323.2630691208	487.0991459758	
-324.6175304255	488.5714805086	
-325.9709974682	490.0448214638	
-327.3234702462	491.5191688332	
-328.6759430235	492.9935162011	
-330.0284157994	494.4678635629	
-331.3818889180	495.9422048399	
-332.7343616992	497.4165521889	
-334.0858341313	498.8909056142	
-335.4383129902	500.3662532982	
-336.7897915023	501.8416070574	
-338.1392814829	503.3189736571	
-339.4877711203	504.7963463345	
-340.8372611019	506.2737129237	
-342.1867450033	507.7500791643	
-343.5402181320	509.2244203914	
-344.8936851784	510.6977612699	
-346.2471522270	512.1711021430	
-347.6006192765	513.6444430088	
-348.9491089172	515.1218156462	
-350.2985989011	516.5991821982	
-351.6470946215	518.0775551704	
-352.9965785301	519.5539213664	
-354.3500516598	521.0282625530	
-355.7045129779	522.5005969639	
-357.0589742946	523.9729313682	
-358.4134416921	525.4462661122	
-359.7659083996	526.9196130076	
-361.1183872669	528.3949605907	
-362.4698597091	529.8693139025	
-363.8223324975	531.3436611288	
-365.1728167545	532.8200211977	
-366.5213063987	534.2973937654	
-367.8698021263	535.7757666725	
-369.2192921178	537.2531331492	
-370.5677817667	538.7305057006	
-371.9172717587	540.2078721667	
-373.2657674870	541.6862450536	
-374.6142571340	543.1636175862	
-375.9647474757	544.6409779604	
-377.3152256562	546.1163376353	
-378.6657099177	547.5926976502	
-380.0161941809	549.0690576604	
-381.3666723635	550.5444173192	
-382.7211397690	552.0177519662	
-384.0756010958	553.4900862642	
-385.4300624239	554.9624205548	
-386.7845237510	556.4347548410	
-388.1389850798	557.9070891198	
-389.4934524879	559.3804237411	
-390.8479077382	560.8517576661	
-392.2033754940	562.3250861967	
-393.5558422119	563.7984329565	
-394.9073207422	565.2737864837	
-396.2587992792	566.7491400043	
-397.6092835473	568.2254999446	
-398.9597617345	569.7008595339	
-400.3092578180	571.1792262321	
-401.6577474771	572.6565986586	
-403.0062371350	574.1339710809	
-404.3567274851	575.6113313381	
-405.7091942073	577.0846780515	
-407.0626612775	578.5580186812	
-408.4161344253	580.0323596503	
-409.7686011470	581.5057063471	
-411.1190915028	582.9830665778	
-412.4685754269	584.4594325371	
-413.8190597041	585.9357924111	
